,SmsId,SenderPhoneNumber,Sender,text,timestamp,month_name,day_name,month,day,hour,weekday,week,year,polarity,subjectivity,negativity,neutrality,positivity,compound,nouns,tags,word_count
0,1,43367,Biden,"Are our records correct?
2020 total: $0
2020 gifts: 0
Days until E-Day: 49
Donate $10 to get Dems across the finish line: https://txt.democrats.org/9vs",2020-09-15 13:58:40.999425024,September,Tuesday,9,15,13,1,38,2020,0.0,0.75,0.0,1.0,0.0,0.0,"['e-day', 'donate', 'dems', 'finish line']","[('Are', 'NNP'), ('our', 'PRP$'), ('records', 'NNS'), ('correct', 'VB'), ('2020', 'CD'), ('total', 'NN'), ('0', 'CD'), ('2020', 'CD'), ('gifts', 'NNS'), ('0', 'CD'), ('Days', 'NNS'), ('until', 'IN'), ('E-Day', 'NNP'), ('49', 'CD'), ('Donate', 'NNP'), ('10', 'CD'), ('to', 'TO'), ('get', 'VB'), ('Dems', 'NNP'), ('across', 'IN'), ('the', 'DT'), ('finish', 'JJ'), ('line', 'NN'), ('https', 'NN'), ('//txt.democrats.org/9vs', 'NN')]",24.0
1,2,43367,Biden,"DNC HQ: How will you vote?
Reply A, B, or C:

A. Vote-By-Mail
B. Vote In Person
C. I need to check my voter registration

Reply STOP to quit",2020-09-16 15:02:49.756412032,September,Wednesday,9,16,15,2,38,2020,0.0,0.0,0.095,0.905,0.0,-0.4466,"['dnc hq', 'reply', 'a. vote-by-mail', 'vote', 'c.', 'voter registration', 'reply stop']","[('DNC', 'NNP'), ('HQ', 'NNP'), ('How', 'WRB'), ('will', 'MD'), ('you', 'PRP'), ('vote', 'VB'), ('Reply', 'VB'), ('A', 'NNP'), ('B', 'NNP'), ('or', 'CC'), ('C', 'NNP'), ('A.', 'NN'), ('Vote-By-Mail', 'NNP'), ('B', 'NNP'), ('Vote', 'NN'), ('In', 'IN'), ('Person', 'NNP'), ('C.', 'NNP'), ('I', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('check', 'VB'), ('my', 'PRP$'), ('voter', 'NN'), ('registration', 'NN'), ('Reply', 'NNP'), ('STOP', 'NNP'), ('to', 'TO'), ('quit', 'VB')]",29.0
2,3,43367,Biden,B.,2020-09-16 16:40:23.542932992,September,Wednesday,9,16,16,2,38,2020,0.0,0.0,0.0,1.0,0.0,0.0,[],"[('B', 'NNP')]",1.0
3,4,43367,Biden,Great! We will reach out by text to let you know when early voting & polling place info is available.,2020-09-16 16:40:25.853177984,September,Wednesday,9,16,16,2,38,2020,0.5,0.483333333333333,0.0,0.766,0.234,0.6696,['place info'],"[('Great', 'NN'), ('We', 'PRP'), ('will', 'MD'), ('reach', 'VB'), ('out', 'RP'), ('by', 'IN'), ('text', 'NN'), ('to', 'TO'), ('let', 'VB'), ('you', 'PRP'), ('know', 'VB'), ('when', 'WRB'), ('early', 'JJ'), ('voting', 'NN'), ('&', 'CC'), ('polling', 'NN'), ('place', 'NN'), ('info', 'NN'), ('is', 'VBZ'), ('available', 'JJ')]",20.0
4,5,43367,Biden,DNC HQ: McConnell has promised to fill this Supreme Court seat. We want to hear directly from you. Join our focus group now: txt.democrats.org/b98f7,2020-09-20 17:14:53.951938048,September,Sunday,9,20,17,6,38,2020,0.1,0.4,0.0,0.661,0.339,0.85,"['dnc hq', 'mcconnell', 'supreme court seat', 'join', 'focus group']","[('DNC', 'NNP'), ('HQ', 'NNP'), ('McConnell', 'NNP'), ('has', 'VBZ'), ('promised', 'VBN'), ('to', 'TO'), ('fill', 'VB'), ('this', 'DT'), ('Supreme', 'NNP'), ('Court', 'NNP'), ('seat', 'NN'), ('We', 'PRP'), ('want', 'VBP'), ('to', 'TO'), ('hear', 'VB'), ('directly', 'RB'), ('from', 'IN'), ('you', 'PRP'), ('Join', 'VB'), ('our', 'PRP$'), ('focus', 'NN'), ('group', 'NN'), ('now', 'RB'), ('txt.democrats.org/b98f7', 'NN')]",24.0
5,6,43367,Biden,"￼DNC HQ: Did you read President Obama's email? With just over five weeks left in this election, time is running out to make a difference in important races nationwide.

Make your first donation this cycle to the Democratic Unity Fund to support Democrats before Wednesday's end-of-quarter deadline: txt.democrats.org/zkk",2020-09-27 22:37:47.142160000,September,Sunday,9,27,22,6,39,2020,0.216666666666667,0.444444444444444,0.0,0.911,0.089,0.5423,"['hq', 'obama', ""'s email"", 'unity', ""'s end-of-quarter deadline""]","[('￼DNC', 'JJ'), ('HQ', 'NNP'), ('Did', 'NNP'), ('you', 'PRP'), ('read', 'VB'), ('President', 'NNP'), ('Obama', 'NNP'), (""'s"", 'POS'), ('email', 'NN'), ('With', 'IN'), ('just', 'RB'), ('over', 'IN'), ('five', 'CD'), ('weeks', 'NNS'), ('left', 'VBN'), ('in', 'IN'), ('this', 'DT'), ('election', 'NN'), ('time', 'NN'), ('is', 'VBZ'), ('running', 'VBG'), ('out', 'RP'), ('to', 'TO'), ('make', 'VB'), ('a', 'DT'), ('difference', 'NN'), ('in', 'IN'), ('important', 'JJ'), ('races', 'NNS'), ('nationwide', 'JJ'), ('Make', 'VB'), ('your', 'PRP$'), ('first', 'JJ'), ('donation', 'NN'), ('this', 'DT'), ('cycle', 'NN'), ('to', 'TO'), ('the', 'DT'), ('Democratic', 'JJ'), ('Unity', 'NNP'), ('Fund', 'NNP'), ('to', 'TO'), ('support', 'VB'), ('Democrats', 'NNPS'), ('before', 'IN'), ('Wednesday', 'NNP'), (""'s"", 'POS'), ('end-of-quarter', 'JJ'), ('deadline', 'NN'), ('txt.democrats.org/zkk', 'NN')]",48.0
6,7,43367,Biden,"DNC HQ: Democrats can't win without you.

Name: On file
2020 total: $0

Donate $10 for the first time this year before our midnight deadline: txt.democrats.org/gjt",2020-09-30 15:36:55.774612992,September,Wednesday,9,30,15,2,40,2020,0.35,0.494444444444444,0.109,0.891,0.0,-0.4717,"['dnc hq', ""ca n't"", 'name', 'donate', 'midnight deadline']","[('DNC', 'NNP'), ('HQ', 'NNP'), ('Democrats', 'NNPS'), ('ca', 'MD'), (""n't"", 'RB'), ('win', 'VB'), ('without', 'IN'), ('you', 'PRP'), ('Name', 'NN'), ('On', 'IN'), ('file', 'NN'), ('2020', 'CD'), ('total', 'NN'), ('0', 'CD'), ('Donate', 'NNP'), ('10', 'CD'), ('for', 'IN'), ('the', 'DT'), ('first', 'JJ'), ('time', 'NN'), ('this', 'DT'), ('year', 'NN'), ('before', 'IN'), ('our', 'PRP$'), ('midnight', 'NN'), ('deadline', 'NN'), ('txt.democrats.org/gjt', 'NN')]",26.0
7,8,43367,Biden,Don't miss out! Join Pres. Obama for a special event tomorrow at 5:15 p.m. ET! Donate any amount and we'll send you the link: txt.democrats.org/414fe -Jess,2020-10-01 15:16:45.414608896,October,Thursday,10,1,15,3,40,2020,0.446428571428571,0.571428571428571,0.064,0.777,0.16,0.4291,"['join pres', 'obama', 'special event', 'et', 'donate', 'txt.democrats.org/414fe -jess']","[('Do', 'VBP'), (""n't"", 'RB'), ('miss', 'VB'), ('out', 'RP'), ('Join', 'NNP'), ('Pres', 'NNP'), ('Obama', 'NNP'), ('for', 'IN'), ('a', 'DT'), ('special', 'JJ'), ('event', 'NN'), ('tomorrow', 'NN'), ('at', 'IN'), ('5:15', 'CD'), ('p.m', 'NN'), ('ET', 'NN'), ('Donate', 'NNP'), ('any', 'DT'), ('amount', 'NN'), ('and', 'CC'), ('we', 'PRP'), (""'ll"", 'MD'), ('send', 'VB'), ('you', 'PRP'), ('the', 'DT'), ('link', 'NN'), ('txt.democrats.org/414fe', 'NN'), ('-Jess', 'NN')]",26.0
8,9,43367,Biden,"DNC HQ: Since you haven't donated this year, we want to hear directly from you. With a month left in this race, will you take our survey? txt.democrats.org/9sc",2020-10-04 19:10:48.001283072,October,Sunday,10,4,19,6,40,2020,0.05,0.2,0.0,0.954,0.046,0.0772,['dnc hq'],"[('DNC', 'NNP'), ('HQ', 'NNP'), ('Since', 'IN'), ('you', 'PRP'), ('have', 'VBP'), (""n't"", 'RB'), ('donated', 'VBN'), ('this', 'DT'), ('year', 'NN'), ('we', 'PRP'), ('want', 'VBP'), ('to', 'TO'), ('hear', 'VB'), ('directly', 'RB'), ('from', 'IN'), ('you', 'PRP'), ('With', 'IN'), ('a', 'DT'), ('month', 'NN'), ('left', 'VBD'), ('in', 'IN'), ('this', 'DT'), ('race', 'NN'), ('will', 'MD'), ('you', 'PRP'), ('take', 'VB'), ('our', 'PRP$'), ('survey', 'NN'), ('txt.democrats.org/9sc', 'NN')]",28.0
9,10,43367,Biden,"DNC HQ: With 24 days to the election, there's a powerful role for you to play. Reply START to choose how you'll take action. 

Reply STOP to quit",2020-10-10 16:06:24.969916032,October,Saturday,10,10,16,5,41,2020,0.2,0.55,0.089,0.755,0.157,0.3109,"['dnc hq', 'powerful role', 'reply start', 'reply stop']","[('DNC', 'NNP'), ('HQ', 'NNP'), ('With', 'IN'), ('24', 'CD'), ('days', 'NNS'), ('to', 'TO'), ('the', 'DT'), ('election', 'NN'), ('there', 'EX'), (""'s"", 'VBZ'), ('a', 'DT'), ('powerful', 'JJ'), ('role', 'NN'), ('for', 'IN'), ('you', 'PRP'), ('to', 'TO'), ('play', 'VB'), ('Reply', 'NNP'), ('START', 'NNP'), ('to', 'TO'), ('choose', 'VB'), ('how', 'WRB'), ('you', 'PRP'), (""'ll"", 'MD'), ('take', 'VB'), ('action', 'NN'), ('Reply', 'NNP'), ('STOP', 'NNP'), ('to', 'TO'), ('quit', 'VB')]",28.0
